f	Vim	Vi	Vo	G	GdB	P
1	164	0.164	15.4	93.90243902	39.45353746	0
10	156	0.156	15.4	98.71794872	39.88792245	-4
100	154	0.154	15.4	100	40	-4
200	154	0.154	15.4	100	40	-4
500	154	0.154	15.4	100	40	-8
1000	154	0.154	15.4	100	40	-15
1500	154	0.154	15.8	102.5974026	40.22272732	-24.3
2000	154	0.154	16	103.8961039	40.33198524	-33
3000	154	0.154	16.4	106.4935065	40.54646254	-51
4000	154	0.154	16.8	109.0909091	40.75577122	-69
5000	154	0.154	16.8	109.0909091	40.75577122	-88
6000	154	0.154	16	103.8961039	40.33198524	-110
7000	154	0.154	15.2	98.7012987	39.88645734	-132
8000	154	0.154	13.6	88.31168831	38.92036375	-156
9000	154	0.154	11.6	75.32467532	37.53874537	-178
10000	154	0.154	9.2	59.74025974	35.52534213	-200
11000	154	0.154	7.04	45.71428571	33.20103877	-218
12000	154	0.154	5.36	34.80519481	30.83288138	-232
13000	154	0.154	4	25.97402597	28.29078541	-245
15000	154	0.154	2.32	15.06493506	23.55934528	-263
20000	154	0.154	0.736	4.779220779	13.58714187	-294.5
30000	158	0.158	0.146	0.924050633	-0.686084623	-323.2
40000	154	0.154	0.0528	0.342857143	-9.297735966	-340
