R	V	nV	A	W
9999	-0.594	0.594	5.94059E-05	3.52871E-05
999	-0.594	0.594	0.000594595	0.000353189
399	-0.593	0.593	0.001486216	0.000881326
299	-0.592	0.592	0.001979933	0.00117212
199	-0.591	0.591	0.002969849	0.001755181
99	-0.587	0.587	0.005929293	0.003480495
69	-0.583	0.583	0.008449275	0.004925928
59	-0.581	0.581	0.009847458	0.005721373
49	-0.577	0.577	0.01177551	0.006794469
39	-0.572	0.572	0.014666667	0.008389333
29	-0.562	0.562	0.01937931	0.010891172
19	-0.533	0.533	0.028052632	0.014952053
17	-0.518	0.518	0.030470588	0.015783765
15	-0.492	0.492	0.0328	0.0161376
13	-0.449	0.449	0.034538462	0.015507769
11	-0.39	0.39	0.035454545	0.013827273
10	-0.356	0.356	0.0356	0.0126736
9	-0.325	0.325	0.036111111	0.011736111
8	-0.291	0.291	0.036375	0.010585125
7	-0.255	0.255	0.036428571	0.009289286
6	-0.221	0.221	0.036833333	0.008140167
5	-0.185	0.185	0.037	0.006845
4	-0.15	0.15	0.0375	0.005625
3	-0.116	0.116	0.038666667	0.004485333
2	-0.081	0.081	0.0405	0.0032805
1	-0.046	0.046	0.046	0.002116
