R	V	nV	A	W
9999	-0.611	0.611	6.11061E-05	3.73358E-05
999	-0.61	0.61	0.000610611	0.000372472
399	-0.609	0.609	0.001526316	0.000929526
299	-0.608	0.608	0.002033445	0.001236334
199	-0.607	0.607	0.003050251	0.001851503
99	-0.603	0.603	0.006090909	0.003672818
69	-0.599	0.599	0.008681159	0.005200014
59	-0.597	0.597	0.010118644	0.006040831
49	-0.594	0.594	0.012122449	0.007200735
39	-0.589	0.589	0.015102564	0.00889541
29	-0.582	0.582	0.020068966	0.011680138
19	-0.564	0.564	0.029684211	0.016741895
17	-0.557	0.557	0.032764706	0.018249941
15	-0.548	0.548	0.036533333	0.020020267
13	-0.535	0.535	0.041153846	0.022017308
11	-0.512	0.512	0.046545455	0.023831273
