R	V	nV	A	W
9999	-0.59	0.59	5.90059E-05	3.48135E-05
999	-0.589	0.589	0.00058959	0.000347268
399	-0.588	0.588	0.001473684	0.000866526
299	-0.587	0.587	0.001963211	0.001152405
199	-0.585	0.585	0.002939698	0.001719724
99	-0.579	0.579	0.005848485	0.003386273
69	-0.574	0.574	0.008318841	0.004775014
59	-0.571	0.571	0.009677966	0.005526119
49	-0.566	0.566	0.01155102	0.006537878
39	-0.558	0.558	0.014307692	0.007983692
37	-0.555	0.555	0.015	0.008325
34	-0.551	0.551	0.016205882	0.008929441
29	-0.541	0.541	0.018655172	0.010092448
24	-0.52	0.52	0.021666667	0.011266667
22	-0.507	0.507	0.023045455	0.011684045
21	-0.499	0.499	0.023761905	0.01185719
20	-0.486	0.486	0.0243	0.0118098
19	-0.473	0.473	0.024894737	0.011775211
18	-0.458	0.458	0.025444444	0.011653556
17	-0.437	0.437	0.025705882	0.011233471
15	-0.392	0.392	0.026133333	0.010244267
13	-0.344	0.344	0.026461538	0.009102769
11	-0.294	0.294	0.026727273	0.007857818
10	-0.268	0.268	0.0268	0.0071824
9	-0.243	0.243	0.027	0.006561
8	-0.217	0.217	0.027125	0.005886125
7	-0.191	0.191	0.027285714	0.005211571
6	-0.165	0.165	0.0275	0.0045375
5	-0.139	0.139	0.0278	0.0038642
4	-0.112	0.112	0.028	0.003136
3	-0.086	0.086	0.028666667	0.002465333
2	-0.06	0.06	0.03	0.0018
1	-0.035	0.035	0.035	0.001225
